name,phone,email,website,rating,reviews,address,official_name,company_number,sic_codes
Surrey Plumbing Services - Caterham,,,,5.0,172.0,"4a, Wellesley Parade, Warlingham, Whyteleafe CR3 0BL, United Kingdom",,,
Near Me Plumbers,,,,5.0,208.0,"38 Glaisher St, London SE8 3ET, United Kingdom",,,
National Plumbing Ltd,,,,4.9,182.0,"67 Wingate Square, London SW4 0AF, United Kingdom",,,
Stewart & Stewart Plumbing and Heating Services,,,,5.0,79.0,"The Officers Mess, Coldstream Rd, Caterham CR3 5QX, United Kingdom",,,
Drainage & Plumbing Ltd,,,,5.0,90.0,"Brighton Rd, Purley CR8 2BA, United Kingdom",,,
Blueman Plumbing & Heating,,,,5.0,35.0,"Nork House, 33 Nork Way, Banstead SM7 1PB, United Kingdom",,,
Warlingham Plumbing Services,,,,5.0,1.0,"375 Limpsfield Rd, South Croydon, Warlingham CR6 9HA, United Kingdom",,,
Purly & Coulsdon,,,,5.0,37.0,"Flat 33, 130 Brighton Rd, Purley CR8 4EX, United Kingdom",,,
Surrey Plumbing Services - Coulsdon,,,,5.0,27.0,"131 Mead Way, Coulsdon CR5 1PR, United Kingdom",,,
Watermate Plumbing and Heating Ltd,,,,4.9,79.0,"8 Bristol Cl, Wallington SM6 9ED, United Kingdom",,,
IJF Plumbing & Heating,,,,5.0,12.0,"7 Lavender Cl, Chaldon, Caterham CR3 5DW, United Kingdom",,,
Near Me Plumbers,,,,5.0,100.0,"Milton Court, 23 Chesterton Cl, London SW18 1ST, United Kingdom",,,
YU Plumbing & Heating CORP,,,,5.0,8.0,"40 Frith Rd, Croydon CR0 1TA, United Kingdom",,,
Blueman Plumbing & Heating,,,,5.0,218.0,"51 Hamilton Ave, Cheam, Sutton SM3 9RJ, United Kingdom",,,
East London Plumbers,,,,4.6,156.0,"28 Wellington Way, Bow, London E3 4XA, United Kingdom",,,
Urgent Plumbers London,,,,5.0,102.0,"8 Spigurnell Rd, London N17 7PP, United Kingdom",,,
Bromley Plumbers Ltd,,,,4.9,616.0,"18 Addington Rd, West Wickham BR4 9BS, United Kingdom",,,
Plumbing London | Plumbing 4 London,,,,4.8,52.0,"17, Frederica Court, 35 Trinity Rise, Norwood, London SW2 2BF, United Kingdom",,,
Pulse Plumbing & Heating ltd,,,,5.0,94.0,"72 Ormeley Rd, London SW12 9QG, United Kingdom",,,
Purley Plumbers,,,,5.0,2.0,"3 Yewbank Cl, Kenley CR8 5JY, United Kingdom",,,
Jolly Plumbers,,,,5.0,98.0,"6 Greenway Gardens, Croydon CR0 8QG, United Kingdom",,,
